Date,Category,Product,Region,Sales_Rep,Units_Sold,Unit_Price,Total_Sales,Cost_Per_Unit,Customer_Age,Customer_Satisfaction
2025-01-01,Electronics,Laptop,North,Alice,5,899.99,4499.95,650.00,34,4.5
2025-01-01,Electronics,Phone,South,Bob,8,599.99,4799.92,420.00,28,4.2
2025-01-01,Clothing,Jacket,East,Carol,12,79.99,959.88,45.00,42,4.8
2025-01-01,Furniture,Chair,West,David,6,149.99,899.94,85.00,51,3.9
2025-01-02,Electronics,Tablet,North,Alice,10,399.99,3999.90,280.00,29,4.6
2025-01-02,Clothing,Shoes,South,Bob,15,89.99,1349.85,52.00,25,4.3
2025-01-02,Furniture,Desk,East,Carol,4,299.99,1199.96,180.00,38,4.7
2025-01-02,Electronics,Headphones,West,David,20,79.99,1599.80,35.00,31,4.1
2025-01-03,Clothing,Shirt,North,Alice,25,29.99,749.75,15.00,27,4.4
2025-01-03,Electronics,Laptop,South,Bob,7,899.99,6299.93,650.00,45,4.9
2025-01-03,Furniture,Table,East,Carol,3,399.99,1199.97,240.00,55,4.2
2025-01-03,Clothing,Pants,West,David,18,59.99,1079.82,32.00,33,4.5
2025-01-04,Electronics,Phone,North,Alice,12,599.99,7199.88,420.00,22,4.0
2025-01-04,Furniture,Bookshelf,South,Bob,5,179.99,899.95,105.00,48,4.6
2025-01-04,Clothing,Dress,East,Carol,10,99.99,999.90,58.00,30,4.8
2025-01-04,Electronics,Tablet,West,David,14,399.99,5599.86,280.00,26,4.3
2025-01-05,Clothing,Jacket,North,Alice,8,79.99,639.92,45.00,39,4.7
2025-01-05,Electronics,Headphones,South,Bob,22,79.99,1759.78,35.00,24,4.2
2025-01-05,Furniture,Chair,East,Carol,9,149.99,1349.91,85.00,52,4.0
2025-01-05,Clothing,Shoes,West,David,16,89.99,1439.84,52.00,28,4.5
2025-01-06,Electronics,Laptop,North,Alice,6,899.99,5399.94,650.00,41,4.8
2025-01-06,Furniture,Desk,South,Bob,7,299.99,2099.93,180.00,44,4.4
2025-01-06,Clothing,Shirt,East,Carol,30,29.99,899.70,15.00,23,4.1
2025-01-06,Electronics,Phone,West,David,11,599.99,6599.89,420.00,35,4.6
2025-01-07,Clothing,Pants,North,Alice,20,59.99,1199.80,32.00,29,4.3
2025-01-07,Electronics,Tablet,South,Bob,13,399.99,5199.87,280.00,32,4.7
2025-01-07,Furniture,Table,East,Carol,4,399.99,1599.96,240.00,58,4.5
2025-01-07,Clothing,Dress,West,David,11,99.99,1099.89,58.00,27,4.9
2025-01-08,Electronics,Headphones,North,Alice,25,79.99,1999.75,35.00,26,4.2
2025-01-08,Furniture,Bookshelf,South,Bob,6,179.99,1079.94,105.00,46,4.6
2025-01-08,Clothing,Jacket,East,Carol,14,79.99,1119.86,45.00,37,4.4
2025-01-08,Electronics,Laptop,West,David,8,899.99,7199.92,650.00,43,4.8
2025-01-09,Clothing,Shoes,North,Alice,17,89.99,1529.83,52.00,31,4.5
2025-01-09,Electronics,Phone,South,Bob,10,599.99,5999.90,420.00,36,4.3
2025-01-09,Furniture,Chair,East,Carol,8,149.99,1199.92,85.00,49,4.1
2025-01-09,Clothing,Shirt,West,David,28,29.99,839.72,15.00,25,4.7
2025-01-10,Electronics,Tablet,North,Alice,15,399.99,5999.85,280.00,30,4.6
2025-01-10,Furniture,Desk,South,Bob,5,299.99,1499.95,180.00,40,4.8
2025-01-10,Clothing,Pants,East,Carol,19,59.99,1139.81,32.00,34,4.2
2025-01-10,Electronics,Headphones,West,David,24,79.99,1919.76,35.00,28,4.4
2025-01-11,Clothing,Dress,North,Alice,12,99.99,1199.88,58.00,29,4.9
2025-01-11,Electronics,Laptop,South,Bob,9,899.99,8099.91,650.00,47,4.7
2025-01-11,Furniture,Table,East,Carol,5,399.99,1999.95,240.00,53,4.3
2025-01-11,Clothing,Jacket,West,David,13,79.99,1039.87,45.00,38,4.6
2025-01-12,Electronics,Phone,North,Alice,14,599.99,8399.86,420.00,33,4.1
2025-01-12,Furniture,Bookshelf,South,Bob,7,179.99,1259.93,105.00,50,4.5
2025-01-12,Clothing,Shoes,East,Carol,18,89.99,1619.82,52.00,27,4.8
2025-01-12,Electronics,Tablet,West,David,16,399.99,6399.84,280.00,24,4.4
2025-01-13,Clothing,Shirt,North,Alice,26,29.99,779.74,15.00,26,4.3
2025-01-13,Electronics,Headphones,South,Bob,23,79.99,1839.77,35.00,29,4.6
2025-01-13,Furniture,Chair,East,Carol,10,149.99,1499.90,85.00,54,4.2
2025-01-13,Clothing,Pants,West,David,21,59.99,1259.79,32.00,32,4.7
2025-01-14,Electronics,Laptop,North,Alice,7,899.99,6299.93,650.00,39,4.9
2025-01-14,Furniture,Desk,South,Bob,6,299.99,1799.94,180.00,42,4.5
2025-01-14,Clothing,Dress,East,Carol,13,99.99,1299.87,58.00,31,4.8
2025-01-14,Electronics,Phone,West,David,12,599.99,7199.88,420.00,37,4.3
